sr_no,district,longitude,latitude,landuse_landcover,geomorphology,length_m,area_sqm,toposheet,object_id,coord_flag,area_ha,log_area,aspect_ratio,size_class,veg_density,geom_class
1,Bilaspur,76.5401,31.305,Moderate Vegetation,Lowly Dissected Hill,143.181986,1212.666389,53A11,3733,0,0.1212666389,7.101401130723996,4.1116648924498795,medium,2,1
2,Bilaspur,76.6187,31.2684,Sparsely Vegetated,Lowly Dissected Hill,183.253489,2119.768813,53A11,3734,0,0.2119768813,7.659533949566805,3.9802284793678786,large,1,1
3,Bilaspur,76.6149,31.2649,Sparsely Vegetated,Lowly Dissected Hill,249.176363,3617.578862,53A11,3735,0,0.3617578862,8.193836648182277,4.142836928893319,large,1,1
4,Bilaspur,76.5439,31.2835,Sparsely Vegetated,Lowly Dissected Hill,318.679988,5900.883239,53A11,3736,0,0.5900883239,8.683026772013394,4.148549548432892,large,1,1
5,Bilaspur,76.5712,31.2833,Sparsely Vegetated,Lowly Dissected Hill,125.649048,960.658506,53A11,3737,0,0.0960658506,6.868659404276213,4.053915445790638,medium,1,1
6,Bilaspur,76.5295,31.2854,Sparsely Vegetated,Lowly Dissected Hill,229.75698,3720.481415,53A11,3738,0,0.37204814150000004,8.221877097833445,3.7667703599397275,large,1,1
7,Bilaspur,76.5398,31.2833,Sparsely Vegetated,Lowly Dissected Hill,203.777771,2610.492169,53A11,3739,0,0.2610492169,7.867677049212084,3.9883715537487396,large,1,1
8,Bilaspur,76.5372,31.285,Sparsely Vegetated,Lowly Dissected Hill,386.179818,8782.214117,53A11,3740,0,0.8782214116999999,9.080597692192207,4.120857178045668,large,1,1
9,Bilaspur,76.5422,31.2831,Sparsely Vegetated,Lowly Dissected Hill,201.524926,2790.456403,53A11,3741,0,0.2790456403,7.934318746860232,3.8149701968112812,large,1,1
10,Bilaspur,76.5454,31.2838,Sparsely Vegetated,Lowly Dissected Hill,162.583513,1716.442755,53A11,3742,0,0.1716442755,7.4485916931189085,3.9242967556952078,medium,1,1
11,Bilaspur,76.6026,31.2642,Sparsely Vegetated,Lowly Dissected Hill,130.676045,1092.057951,53A11,3743,0,0.1092057951,6.996734506899109,3.9543320905106287,medium,1,1
12,Bilaspur,76.603,31.2701,Sparsely Vegetated,Lowly Dissected Hill,90.310462,487.051691,53A11,3744,0,0.0487051691,6.190421324423905,4.092140498391763,small,1,1
13,Bilaspur,76.5428,31.288,Sparsely Vegetated,Lowly Dissected Hill,78.147675,395.934617,53A11,3745,0,0.0395934617,5.983771574428645,3.927392663987889,small,1,1
14,Bilaspur,76.5465,31.2837,Sparsely Vegetated,Lowly Dissected Hill,78.012037,371.063291,53A11,3746,0,0.0371063291,5.919063976898246,4.049837729087359,small,1,1
15,Bilaspur,76.5469,31.2834,Sparsely Vegetated,Lowly Dissected Hill,68.426541,300.088399,53A11,3747,0,0.030008839899999997,5.70740390601744,3.950026265517965,small,1,1
16,Bilaspur,76.5366,31.3014,Moderate Vegetation,Lowly Dissected Hill,218.950652,3084.110331,53A11,3748,0,0.3084110331,8.034342699395282,3.9425870378347248,large,2,1
17,Bilaspur,76.5392,31.2985,Moderate Vegetation,Lowly Dissected Hill,71.66711,347.229397,53A11,3749,0,0.034722939700000004,5.852861449387908,3.8460209774101735,small,2,1
18,Bilaspur,76.5433,31.3038,Sparsely Vegetated,Lowly Dissected Hill,231.880248,3465.12492,53A11,3750,0,0.346512492,8.150792511172522,3.939166231433807,large,1,1
19,Bilaspur,76.5423,31.3013,Sparsely Vegetated,Lowly Dissected Hill,66.138428,291.109029,53A11,3751,0,0.029110902900000003,5.67712711956301,3.8763771993766696,small,1,1
20,Bilaspur,76.5423,31.3034,Sparsely Vegetated,Lowly Dissected Hill,110.630659,803.110801,53A11,3752,0,0.0803110801,6.689737071872794,3.9038018541974115,medium,1,1
21,Bilaspur,76.5446,31.3042,Sparsely Vegetated,Lowly Dissected Hill,122.157834,985.238228,53A11,3753,0,0.09852382280000001,6.893897935967175,3.8918016364354977,medium,1,1
22,Bilaspur,76.6246,31.2788,Sparsely Vegetated,Lowly Dissected Hill,245.268059,3637.929513,53A11,4103,0,0.3637929513,8.199444827542726,4.066435181864826,large,1,1
23,Bilaspur,76.6226,31.279,Sparsely Vegetated,Lowly Dissected Hill,205.423885,2704.796828,53A11,4104,0,0.2704796828,7.903151723872025,3.949877385158951,large,1,1
24,Bilaspur,76.4055,31.4067,Moderate Vegetation,Moderately Dissected Hill,171.539693,1876.321452,53A07,4105,0,0.1876321452,7.537601280314514,3.9601442588555495,medium,2,2
25,Bilaspur,76.728,31.4644,Thick Vegetation,Moderately Dissected Hill,142.301543,1302.042577,53A11,4106,0,0.1302042577,7.172457252722995,3.9436377596607244,medium,3,2
26,Bilaspur,76.4255,31.4067,Sparsely Vegetated,Moderately Dissected Hill,143.261562,1361.934165,53A07,4109,0,0.1361934165,7.217395128989256,3.881965082981955,medium,1,2
27,Bilaspur,76.6775,31.4089,Thick Vegetation,Lowly Dissected Hill,109.248645,513.45543,53A11,4110,0,0.051345543,6.243108923727726,4.8213058596106535,medium,3,1
28,Bilaspur,76.6805,31.3633,Moderate Vegetation,Lowly Dissected Hill,180.378848,2073.25762,53A11,4111,0,0.207325762,7.637358595154617,3.9614937385370244,large,2,1
29,Bilaspur,76.6685,31.3922,Moderate Vegetation,Lowly Dissected Hill,168.789943,1798.414165,53A11,4112,0,0.1798414165,7.495216427020501,3.9801707999904496,medium,2,1
